"URDOP4LC.Code.or.Value","URDOP4LC.Value.Description","URDOP4LC.Count","URDOP4LC.Cumulative","URDOP4LC.Skip.to.Item"
"0","At or above the detection limit",1646,1646,NA
"1","Below lower detection limit",1150,2796,NA
".","Missing",190,2986,NA
