"DXXPT47Y.Code.or.Value","DXXPT47Y.Value.Description","DXXPT47Y.Count","DXXPT47Y.Cumulative","DXXPT47Y.Skip.to.Item"
"133 to 357.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
