"ARQ125D.Code.or.Value","ARQ125D.Value.Description","ARQ125D.Count","ARQ125D.Cumulative","ARQ125D.Skip.to.Item"
"1","Yes",11,11,""
"2","No",5091,5102,"ARQ125e"
"7","Refused",0,5102,"ARQ125e"
"9","Don't know",4,5106,"ARQ125e"
".","Missing",0,5106,""
