"BIXS014K.Code.or.Value","BIXS014K.Value.Description","BIXS014K.Count","BIXS014K.Cumulative","BIXS014K.Skip.to.Item"
"362.42 to 972.08","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
