"WBXA076.Code.or.Value","WBXA076.Value.Description","WBXA076.Count","WBXA076.Cumulative","WBXA076.Skip.to.Item"
"-0.3405 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
