"WTSBA03.Code.or.Value","WTSBA03.Value.Description","WTSBA03.Count","WTSBA03.Cumulative","WTSBA03.Skip.to.Item"
"0 to 350887.63104","Range of Values",946,946,NA
".","Missing",65,1011,NA
