"RDQ130.Code.or.Value","RDQ130.Value.Description","RDQ130.Count","RDQ130.Cumulative","RDQ130.Skip.to.Item"
"1","Yes",582,582,""
"2","No",264,846,"RDQ135"
"7","Refused",1,847,"RDQ135"
"9","Don't know",1,848,"RDQ135"
".","Missing",8645,9493,""
