"OSQ180.Code.or.Value","OSQ180.Value.Description","OSQ180.Count","OSQ180.Cumulative","OSQ180.Skip.to.Item"
"7 to 103","Range of Values",245,245,NA
"777","Refused",0,245,NA
"999","Don't know",8,253,NA
".","Missing",2816,3069,NA
