"OSQ040aa.Code.or.Value","OSQ040aa.Value.Description","OSQ040aa.Count","OSQ040aa.Cumulative","OSQ040aa.Skip.to.Item"
"1","Under 50 years old, or",26,26,"OSQ025"
"2","50 years old or older?",51,77,""
"7","Refused",0,77,"OSQ025"
"9","Don't know",0,77,"OSQ025"
".","Missing",2992,3069,""
