"URDBDCLC.Code.or.Value","URDBDCLC.Value.Description","URDBDCLC.Count","URDBDCLC.Cumulative","URDBDCLC.Skip.to.Item"
"0","At or above the detection limit",2726,2726,NA
"1","Below lower detection limit",74,2800,NA
".","Missing",186,2986,NA
