"PAD733.Code.or.Value","PAD733.Value.Description","PAD733.Count","PAD733.Cumulative","PAD733.Skip.to.Item"
"10 to 900","Range of Values",629,629,NA
"7777","Refused",0,629,NA
"9999","Don't know",4,633,NA
".","Missing",8622,9255,NA
