"WBXP074.Code.or.Value","WBXP074.Value.Description","WBXP074.Count","WBXP074.Cumulative","WBXP074.Skip.to.Item"
"-135.7467 to 109.0366","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
