"DSDBG2LC.Code.or.Value","DSDBG2LC.Value.Description","DSDBG2LC.Count","DSDBG2LC.Cumulative","DSDBG2LC.Skip.to.Item"
"0","At or above the detection limit",1942,1942,NA
"1","Below lower detection limit",5015,6957,NA
".","Missing",2483,9440,NA
