"LBC087LA.Code.or.Value","LBC087LA.Value.Description","LBC087LA.Count","LBC087LA.Cumulative","LBC087LA.Skip.to.Item"
"0.1 to 2.4","Range of Values",264,264,NA
".","Missing",0,264,NA
