"LB2VIE.Code.or.Value","LB2VIE.Value.Description","LB2VIE.Count","LB2VIE.Cumulative","LB2VIE.Skip.to.Item"
"78.3 to 4049.1","Range of Values",545,545,NA
".","Missing",6,551,NA
