"AUXRR169.Code.or.Value","AUXRR169.Value.Description","AUXRR169.Count","AUXRR169.Cumulative","AUXRR169.Skip.to.Item"
"-24 to 124","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
