"DED6PSDX.Code.or.Value","DED6PSDX.Value.Description","DED6PSDX.Count","DED6PSDX.Cumulative","DED6PSDX.Skip.to.Item"
"1","Present",11,11,NA
"2","Absent",243,254,NA
"9","Not determined, picture missing",6,260,NA
".","Missing",2732,2992,NA
