"WBXF005.Code.or.Value","WBXF005.Value.Description","WBXF005.Count","WBXF005.Cumulative","WBXF005.Skip.to.Item"
"324.2099 to 324.2099","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
