"ARQ118BA.Code.or.Value","ARQ118BA.Value.Description","ARQ118BA.Count","ARQ118BA.Cumulative","ARQ118BA.Skip.to.Item"
"10","Heel spurs",19,19,NA
"77","Refused",0,19,NA
"99","Don't know",59,78,NA
".","Missing",5028,5106,NA
