"LBXDY1.Code.or.Value","LBXDY1.Value.Description","LBXDY1.Count","LBXDY1.Cumulative","LBXDY1.Skip.to.Item"
"1","Sensitive",189,189,NA
"2","Nonsusceptible",1,190,NA
"3","No result",180,370,NA
".","Missing",8809,9179,NA
