"URDUSNLC.Code.or.Value","URDUSNLC.Value.Description","URDUSNLC.Count","URDUSNLC.Cumulative","URDUSNLC.Skip.to.Item"
"0","At or above the detection limit",2641,2641,NA
"1","Below lower detection limit",167,2808,NA
".","Missing",171,2979,NA
