"AUQ580.Code.or.Value","AUQ580.Value.Description","AUQ580.Count","AUQ580.Cumulative","AUQ580.Skip.to.Item"
"1 to 23","Range of Values",96,96,NA
"77","Refused",0,96,NA
"99","Don't know",10,106,NA
".","Missing",3025,3131,NA
