"SSTTGV.Code.or.Value","SSTTGV.Value.Description","SSTTGV.Count","SSTTGV.Cumulative","SSTTGV.Skip.to.Item"
"0.43 to 76.7","Range of Values",2064,2064,NA
".","Missing",25,2089,NA
