"URDTIME1.Code.or.Value","URDTIME1.Value.Description","URDTIME1.Count","URDTIME1.Cumulative","URDTIME1.Skip.to.Item"
"2 to 1406","Range of Values",5841,5841,NA
".","Missing",2095,7936,NA
