"WHQ080H.Code.or.Value","WHQ080H.Value.Description","WHQ080H.Count","WHQ080H.Cumulative","WHQ080H.Skip.to.Item"
"17","Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous",45,45,NA
".","Missing",5999,6044,NA
