"LBXFB.Code.or.Value","LBXFB.Value.Description","LBXFB.Count","LBXFB.Cumulative","LBXFB.Skip.to.Item"
"118 to 914","Range of Values",3010,3010,NA
".","Missing",6252,9262,NA
