"BIDRICF.Code.or.Value","BIDRICF.Value.Description","BIDRICF.Count","BIDRICF.Cumulative","BIDRICF.Skip.to.Item"
"224.8 to 4153","Range of Values",4229,4229,NA
".","Missing",1100,5329,NA
