"WBXP079.Code.or.Value","WBXP079.Value.Description","WBXP079.Count","WBXP079.Cumulative","WBXP079.Skip.to.Item"
"-173.2776 to 172.2509","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
