"LBDIG2LC.Code.or.Value","LBDIG2LC.Value.Description","LBDIG2LC.Count","LBDIG2LC.Cumulative","LBDIG2LC.Skip.to.Item"
"0","At or above the detection limit",1304,1304,NA
"1","Below lower detection limit",6079,7383,NA
"2","Above upper detection limit",1,7384,NA
".","Missing",2056,9440,NA
