"LBXCAP.Code.or.Value","LBXCAP.Value.Description","LBXCAP.Count","LBXCAP.Cumulative","LBXCAP.Skip.to.Item"
"1.12 to 113","Range of Values",3873,3873,NA
".","Missing",1770,5643,NA
