"URDMNPLC.Code.or.Value","URDMNPLC.Value.Description","URDMNPLC.Count","URDMNPLC.Cumulative","URDMNPLC.Skip.to.Item"
"0","At or above the detection limit",371,371,NA
"1","Below lower detection limit",2391,2762,NA
".","Missing",224,2986,NA
