"OHQ070Q.Code.or.Value","OHQ070Q.Value.Description","OHQ070Q.Count","OHQ070Q.Cumulative","OHQ070Q.Skip.to.Item"
"1 to 72","Range of Values",6119,6119,NA
"77777","Refused",0,6119,NA
"99999","Don't know",24,6143,NA
".","Missing",3984,10127,NA
