"BPXOSY3.Code.or.Value","BPXOSY3.Value.Description","BPXOSY3.Count","BPXOSY3.Cumulative","BPXOSY3.Skip.to.Item"
"55 to 215","Range of Values",6094,6094,NA
".","Missing",1038,7132,NA
