"HHfdsec.Code.or.Value","HHfdsec.Value.Description","HHfdsec.Count","HHfdsec.Cumulative","HHfdsec.Skip.to.Item"
"1","HH fully food secure",7503,7503,NA
"2","HH marginally food secure",938,8441,NA
"3","HH food insecure without hunger",1289,9730,NA
"4","HH food insecure with hunger",627,10357,NA
".","Missing",682,11039,NA
