"TYXP213.Code.or.Value","TYXP213.Value.Description","TYXP213.Count","TYXP213.Cumulative","TYXP213.Skip.to.Item"
"-296 to 187","Range of Values",234,234,NA
".","Missing",5351,5585,NA
