"DXDHELE.Code.or.Value","DXDHELE.Value.Description","DXDHELE.Count","DXDHELE.Cumulative","DXDHELE.Skip.to.Item"
"1881.8 to 4955.2","Range of Values",4072,4072,NA
".","Missing",1042,5114,NA
