"MPQ120F.Code.or.Value","MPQ120F.Value.Description","MPQ120F.Count","MPQ120F.Cumulative","MPQ120F.Skip.to.Item"
"15","Upper arm - left",65,65,NA
".","Missing",4976,5041,NA
