"VIXORCM.Code.or.Value","VIXORCM.Value.Description","VIXORCM.Count","VIXORCM.Cumulative","VIXORCM.Skip.to.Item"
"0 to 7.75","Range of Values",6238,6238,NA
"88","Could not obtain",267,6505,NA
".","Missing",412,6917,NA
