"PUD032.Code.or.Value","PUD032.Value.Description","PUD032.Count","PUD032.Cumulative","PUD032.Skip.to.Item"
"1","One time only",746,746,NA
"2","Two or more times",450,1196,NA
".","Missing",8926,10122,NA
