"DID310S.Code.or.Value","DID310S.Value.Description","DID310S.Count","DID310S.Cumulative","DID310S.Skip.to.Item"
"72 to 180","Range of Values",393,393,NA
"6666","Provider did not specify goal",305,698,NA
"7777","Refused",2,700,NA
"9999","Don't know",186,886,NA
".","Missing",8011,8897,NA
