"LBXTNALA.Code.or.Value","LBXTNALA.Value.Description","LBXTNALA.Count","LBXTNALA.Cumulative","LBXTNALA.Skip.to.Item"
"1.2728 to 355","Range of Values",1955,1955,NA
".","Missing",382,2337,NA
