"DX2STBCC.Code.or.Value","DX2STBCC.Value.Description","DX2STBCC.Count","DX2STBCC.Cumulative","DX2STBCC.Skip.to.Item"
"0","Valid data",415,415,NA
"1","Invalid data",64,479,NA
".","Missing",6,485,NA
