"SSFOLTOT.Code.or.Value","SSFOLTOT.Value.Description","SSFOLTOT.Count","SSFOLTOT.Cumulative","SSFOLTOT.Skip.to.Item"
"0.694015495 to 190.78243085","Range of Values",1252,1252,NA
".","Missing",1,1253,NA
