"RHD180.Code.or.Value","RHD180.Value.Description","RHD180.Count","RHD180.Cumulative","RHD180.Skip.to.Item"
"15 to 42","Range of Values",1946,1946,NA
"14","14 years or under",15,1961,NA
"45","45 years or older",0,1961,NA
"777","Refused",1,1962,NA
"999","Don't know",4,1966,NA
".","Missing",1320,3286,NA
