"LB2SGLSI.Code.or.Value","LB2SGLSI.Value.Description","LB2SGLSI.Count","LB2SGLSI.Cumulative","LB2SGLSI.Skip.to.Item"
"3.275 to 16.82","Range of Values",544,544,NA
".","Missing",2,546,NA
