"DUQ400U.Code.or.Value","DUQ400U.Value.Description","DUQ400U.Count","DUQ400U.Cumulative","DUQ400U.Skip.to.Item"
"1","Days",3,3,NA
"2","Weeks",1,4,NA
"3","Months",13,17,NA
"4","Years",87,104,NA
"7","Refused",0,104,NA
"9","Don't know",0,104,NA
".","Missing",4468,4572,NA
