"IMQ081D.Code.or.Value","IMQ081D.Value.Description","IMQ081D.Count","IMQ081D.Cumulative","IMQ081D.Skip.to.Item"
"4","GARDASIL (not sure wich one)",127,127,NA
".","Missing",9127,9254,NA
