"SDMPFOSL.Code.or.Value","SDMPFOSL.Value.Description","SDMPFOSL.Count","SDMPFOSL.Cumulative","SDMPFOSL.Skip.to.Item"
"0","At or above the detection limit",1921,1921,NA
"1","Below lower detection limit",33,1954,NA
".","Missing",0,1954,NA
