"SSCMVOD.Code.or.Value","SSCMVOD.Value.Description","SSCMVOD.Count","SSCMVOD.Cumulative","SSCMVOD.Skip.to.Item"
"0.048 to 3.001","Range of Values",4832,4832,NA
".","Missing",0,4832,NA
