"DTQ190U.Code.or.Value","DTQ190U.Value.Description","DTQ190U.Count","DTQ190U.Cumulative","DTQ190U.Skip.to.Item"
"1","Day",1548,1548,NA
"2","Week",2692,4240,NA
"3","Month",3089,7329,NA
"7","Refused",3,7332,NA
"9","Don't know",8,7340,NA
".","Missing",1201,8541,NA
