"DS2IVB12.Code.or.Value","DS2IVB12.Value.Description","DS2IVB12.Count","DS2IVB12.Cumulative","DS2IVB12.Skip.to.Item"
"0.5 to 20000","Range of Values",1772,1772,NA
".","Missing",4004,5776,NA
