"HOQ250.Code.or.Value","HOQ250.Value.Description","HOQ250.Count","HOQ250.Cumulative","HOQ250.Skip.to.Item"
"1","Yes",3911,3911,""
"2","No",6328,10239,"HOQ270"
"7","Refused",0,10239,"HOQ270"
"9","Don't know",0,10239,"HOQ270"
".","Missing",109,10348,""
