"WTSAU46.Code.or.Value","WTSAU46.Value.Description","WTSAU46.Count","WTSAU46.Cumulative","WTSAU46.Skip.to.Item"
"0 to 478391.34408","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
