"MGXH1T1.Code.or.Value","MGXH1T1.Value.Description","MGXH1T1.Count","MGXH1T1.Cumulative","MGXH1T1.Skip.to.Item"
"4 to 81.5","Range of Values",7798,7798,NA
".","Missing",493,8291,NA
