"DXXPT28X.Code.or.Value","DXXPT28X.Value.Description","DXXPT28X.Count","DXXPT28X.Cumulative","DXXPT28X.Skip.to.Item"
"727.6 to 1262.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
