"RHD143.Code.or.Value","RHD143.Value.Description","RHD143.Count","RHD143.Cumulative","RHD143.Skip.to.Item"
"1","Yes",43,43,NA
"2","No",614,657,NA
"7","Refused",0,657,NA
"9","Don't know",11,668,NA
".","Missing",2618,3286,NA
