"URDP09LC.Code.or.Value","URDP09LC.Value.Description","URDP09LC.Count","URDP09LC.Cumulative","URDP09LC.Skip.to.Item"
"0","Detectable results",1600,1600,NA
"1","Below detectable limit",636,2236,NA
".","Missing",412,2648,NA
