"FFQ0097D.Code.or.Value","FFQ0097D.Value.Description","FFQ0097D.Count","FFQ0097D.Cumulative","FFQ0097D.Skip.to.Item"
1,"Almost never or never",2796,2796,NA
2,"About 1/4 of the time",1615,4411,NA
3,"About 1/2 of the time",599,5010,NA
4,"About 3/4 of the time",227,5237,NA
5,"Almost always or always",152,5389,NA
88,"Blank",623,6012,NA
99,"Error",1,6013,NA
