"DXXAPFAT.Code.or.Value","DXXAPFAT.Value.Description","DXXAPFAT.Count","DXXAPFAT.Cumulative","DXXAPFAT.Skip.to.Item"
"10.4 to 58.8","Range of Values",4052,4052,NA
".","Missing",1062,5114,NA
