"CIQG29.Code.or.Value","CIQG29.Value.Description","CIQG29.Count","CIQG29.Cumulative","CIQG29.Skip.to.Item"
"0 to 365","Range of Values",62,62,NA
"777","Refused",0,62,NA
"999","Don't know",0,62,NA
".","Missing",788,850,NA
