"WTALDS2Y.Code.or.Value","WTALDS2Y.Value.Description","WTALDS2Y.Count","WTALDS2Y.Cumulative","WTALDS2Y.Skip.to.Item"
"0 to 511460.1478","Range of Values",2605,2605,NA
".","Missing",0,2605,NA
