"TYXP065.Code.or.Value","TYXP065.Value.Description","TYXP065.Count","TYXP065.Cumulative","TYXP065.Skip.to.Item"
"-168 to 164","Range of Values",5582,5582,NA
".","Missing",3,5585,NA
