"DSQTCAFF.Code.or.Value","DSQTCAFF.Value.Description","DSQTCAFF.Count","DSQTCAFF.Cumulative","DSQTCAFF.Skip.to.Item"
"2 to 1200","Range of Values",16,16,NA
".","Missing",9238,9254,NA
