"URDBPFLC.Code.or.Value","URDBPFLC.Value.Description","URDBPFLC.Count","URDBPFLC.Cumulative","URDBPFLC.Skip.to.Item"
"0","At or above the detection limit",1162,1162,NA
"1","Below lower detection limit",1489,2651,NA
".","Missing",152,2803,NA
